song_id,melody,articulation,rhythm_complexity,rhythm_stability,dissonance,atonality,mode
245,1.2,1,1,1.5,3.8,3.75,4.6
246,4.6,6.8,3,8,5.8,5.75,5.4
247,4.2,2,7,3.25,6.4,4.5,6.2
248,4.2,7.6,7,6.25,7,6.75,6.8
249,5.8,6.8,6,6.5,5.4,6.5,4
250,4.8,8,3,8,6.4,7.25,5.2
251,4.2,8,5.5,7.25,5.4,7.75,4.2
252,3.6,3.4,6,4.75,5.4,5.75,7.4
253,4.8,6.8,7,7.25,6.6,6.25,4.8
254,4.6,6.8,7.5,6.5,6.2,6.75,4.8
255,3.2,7.6,6,6.75,7.4,6,4.8
256,4.8,6.8,5.5,7.5,6.8,7.5,6.6
257,6.2,6.2,4.33333333333,7,6,6.66666666667,4
258,4.4,5.6,7,7,6.8,5.25,5.2
259,4.8,6.6,7.5,6.5,6.6,5.5,5.6
260,4.2,5.6,7.5,6.25,7.6,5.75,7
261,2,1.4,4.5,2,5.6,4,6.4
262,1.8,2.4,9,2,5.2,3.75,5.2
263,4.4,1.4,8.5,3,6.6,5.25,7
264,3.8,7.8,7,7.25,6.8,5,4.8
265,5.4,4.2,6.5,4.75,6.8,6,5.4
266,3.4,5.2,7.5,3.4,5.6,6.25,6.2
267,4.6,2.8,6.33333333333,3,7.2,5,6.8
268,4.2,7,7.33333333333,5,7,5.75,7.6
269,5,7.4,4,8,6,7.5,4
270,7,1.8,8.66666666667,3.2,4.4,4.5,5
271,4.8,7.8,6.33333333333,7,7,6,4
272,4.6,7,5.66666666667,7.6,6.2,4.75,6.4
273,3.6,7.2,6.66666666667,7.6,7.6,4.25,5.8
274,3.6,5.4,7.66666666667,5.2,8,5.75,6.2
275,2,1.8,4.33333333333,2.8,5.8,5.25,5.4
276,5.2,8.8,4.66666666667,7.2,6.4,7.25,5
277,6.6,7.6,6,7.2,5.2,7.75,4
278,5.8,6.2,6.33333333333,7.2,5,6.75,5
279,3.2,4.4,6.66666666667,6.25,5.6,7,6.4
280,4.4,6.4,5.33333333333,6.6,6.6,6.25,7.8
281,5.4,7.8,6.33333333333,6,6,7.33333333333,5.2
282,4.4,8.4,6,7.2,6.2,6.75,4.6
283,5.8,6.6,5.66666666667,6.25,5.4,7.33333333333,6.8
284,4.6,7,6,6,5.2,6.5,5.2
285,5.8,6.6,5.33333333333,6.75,5.4,7,6.6
286,4.2,8.6,6,7.2,7,6.25,6.2
287,5.2,8.4,6,7.25,6.2,7.33333333333,6.2
288,3.6,5.2,6,5.25,6.2,5.33333333333,5
289,5.6,3.6,5.5,3.5,6,5.33333333333,6
290,4.8,4.6,3.5,5.5,5.8,6,5.25
291,4.8,3,6.33333333333,4,4.4,7.75,5.75
292,5.6,6.6,4.5,8,5.5,6.75,5
293,5.8,6,5,8.5,5.4,8.25,5.75
294,6.2,5,6.5,4.25,5.75,7,7
295,4.6,3.2,6,6,5,7,7.25
296,6,4.6,5.5,6.5,5.2,7.5,5.25
297,5,5,6,6,6.5,7.5,7.25
298,6.4,6.4,6.33333333333,7.25,5.6,7.5,6.25
299,5.2,6.6,5,6.66666666667,5.4,7.66666666667,5.75
300,4.2,9,2.5,8.75,5.2,7.5,5.75
301,7.6,5.6,5,7.66666666667,4.2,7.5,4
302,8,6.4,6,8.5,4.4,6.75,3.25
303,6.8,5.2,6.5,6,5.8,5.75,6.25
304,7,5,6.5,5.5,5,7,4.25
305,8.8,6.4,5.5,8,3.6,8.25,2.25
306,7.4,4.8,6.5,7.5,5,7.5,3
307,8.2,4.8,4,7.75,3.4,8,3
308,6.8,3.8,8.5,4.25,4.2,7.25,3
309,6.2,2.2,6.5,3.5,6.4,6,6.5
310,8.6,5,7.33333333333,5.25,3,7.25,3.2
311,6.6,6.6,5,7.25,5.2,7.5,4
312,7.8,4.8,4.66666666667,8.25,3.6,6.25,5
313,6.4,6,3.66666666667,7.75,5.2,8,3
314,6.2,5.6,6,6.25,6,7.25,3.2
315,7.4,6,5.66666666667,7,4.2,8.25,5
316,5.2,5.6,3.66666666667,7.75,5.4,8,6.2
317,6.2,3.6,6,7,5.8,6.25,6.6
318,5.8,4.4,6,5.5,6.4,6,5.4
319,1.6,1.6,3.33333333333,1.75,7.4,4,5.8
320,5,2.6,8.66666666667,2.75,5.8,5.5,7.2
321,6.4,6,5.33333333333,6.75,5.2,7,3.2
322,6.6,4.2,4.66666666667,7.25,5,6.5,5.8
323,4.8,6.8,6,7.25,4.8,6.5,5.6
324,6.8,5.4,8,6.5,5.8,6.75,6.4
325,7.2,2.6,6,6,4.4,7,5.4
326,6,4.8,6,7.5,4.8,8,5.8
327,6,4.2,5.66666666667,5.75,5.2,5.5,3.6
328,3.8,8.4,8.33333333333,5.5,6.6,6.75,3.6
329,7.8,6.8,6.66666666667,7.25,3.6,7,6.4
330,7.6,6,5,8.5,3.2,7.25,4
331,6.4,3.4,6.66666666667,6,5.2,6.5,5
332,7.8,4.4,4.66666666667,6,4,7.75,2.8
333,7.25,2.8,5,6.4,5.6,4,5.4
334,8,2.8,4.66666666667,6.6,3.2,7.4,6.8
335,6.5,6,5.66666666667,6.4,4.6,6.8,4
336,6.33333333333,6.25,6.5,5.5,5.25,5.5,5.5
337,8,5.25,5.5,7,4,7,4.25
338,7.75,3.8,3,7,3.4,7,4
339,6,4.4,7.5,4.8,5.4,5.2,5.2
340,4,4,3,5.2,6.6,5.2,4.4
341,7.75,5.6,2.5,7.6,3.8,6.6,6.2
342,8,3.8,4,5,4,7,4
343,7,6.4,3.5,6.4,5.8,4.8,6.2
344,5.5,6.6,4,6,6.4,5.4,3.6
345,6.25,6.2,5.5,5,4.6,5.4,5
346,6,3,1.5,3.2,4.4,6.2,6.6
347,5.75,4.8,5,6,4.6,7.2,4.4
348,7.5,4.2,4,6.8,5,7.2,7.2
349,7.75,5.8,6,5.2,6.75,5.4,8
350,8.25,4.4,3,6.2,4.4,6.6,6.4
351,8.33333333333,5.25,1,7.5,4.25,6.5,4.5
352,8.66666666667,3.25,3,5.75,4.75,7.5,4.66666666667
353,7.5,5.4,5,6.4,4.4,7,5.25
354,5.5,5.2,3.5,7,5.8,6.2,6
355,7.25,4.2,4,7,4.2,7,4.75
356,5.75,6.4,5,6.2,4.4,6.6,4.5
357,8,3.4,3.5,8.25,3.4,7.25,4.75
358,5,8.5,3,7.75,5.5,6.25,6
359,7,4.75,4,6,3.75,6.75,5.25
360,7,5.75,9,6.25,5.25,6,7
361,7.5,4.8,5,5.2,5.8,6.25,7
362,7.25,6.8,7,7.6,5.6,5.75,4.8
363,6.5,6.8,6,6.4,4.2,6.25,4.4
364,7,4.75,4,6.5,4.5,7.5,4.5
365,7.25,5.2,3.5,5.6,5.2,5.5,4.2
366,7.66666666667,5,3,6.5,4.25,6.75,6.25
367,8.33333333333,3.5,3,4,5.25,5.25,7.25
368,7,6.25,1,7.5,4.25,6.75,4.5
369,7.25,6.75,4,6.5,4.5,6.25,4.5
370,8,4.75,5,6.5,5.75,4.75,5.75
371,6.5,6.25,5,7,5,6,5
372,8,4.5,3,5.75,4.75,5.75,5
373,7.66666666667,6,5,6.75,5,7,5.25
374,8,4,1,7,3.75,7.75,6.75
375,7.33333333333,6,6,7.5,5.5,7.25,4
376,8.33333333333,4.25,5,8,3.5,7,3.25
377,7.33333333333,5.5,6,8.75,4.5,7.25,3
378,7.33333333333,6.5,7,7.5,4.75,7.75,4.5
379,6.33333333333,6,8,5,5.25,5.5,5.75
380,7.66666666667,6.25,8,6.25,4.75,6.75,4.5
381,7.66666666667,3,4,5.66666666667,3,6.33333333333,5
382,7.25,6.5,5,6.5,4.75,7.5,5.75
383,6.5,6.75,5,7.5,4.25,8.5,3.5
384,8,6,5,6.66666666667,4.5,7,4.5
385,8,5,5,7,4.5,7,5.5
386,7,4.25,4,4.33333333333,4.5,6.33333333333,6.25
387,6.66666666667,6.25,6,6.66666666667,5.25,6.33333333333,4.5
388,7.33333333333,4.5,4,5.33333333333,4,6,4.25
389,6.33333333333,5.75,6,7.66666666667,4.25,7,4.75
390,7.66666666667,6,5,8.33333333333,4.75,7.66666666667,3.75
391,6.33333333333,6.5,5,7.66666666667,5,7,4.25
392,8,5,5,7.66666666667,3.4,6.66666666667,3.6
393,7.75,4,4,6.66666666667,4,7.66666666667,4.2
394,6.75,6.4,5,8,5.6,6.33333333333,3.6
395,7.5,5.8,5,7,4.2,6.66666666667,4
396,7.6,5.5,6,7,4.6,6.66666666667,5.6
397,6.25,5.6,4,7.33333333333,5.8,5.66666666667,4.8
398,6.5,6.2,6,7,4.6,6,5
399,8,4.75,3,7.25,3.8,7.25,4.8
400,6.75,5.8,4,6.66666666667,5.8,7,4.2
401,4.8,6,8,2,5.4,5.6,2.5
402,5.2,7.6,4.75,8,5.6,7,6.75
403,8.4,3.2,3.25,5.75,3.6,7.2,5
404,8.2,6,7.25,8.5,3.6,8.2,4.5
405,5.6,7,8,7.25,6.8,5.8,5.5
406,6.4,7,7.5,7.25,4.8,6.8,7.5
407,6,6.8,5.33333333333,7,4.8,7.8,7.6
408,4.8,8.6,4,8,7,6.2,6.2
409,7.6,5,5.66666666667,8,4.8,7.4,8
410,8.8,1.8,2.33333333333,5.5,3.4,6.8,6.4
411,2.2,2,4,3,4.8,4,4.6
412,5.2,3.2,5.66666666667,5,4.4,5.8,6.8
413,6.8,7,5.66666666667,6.75,4.4,6.6,7
414,6.2,8,4.33333333333,7.25,5.2,7,8
415,2.8,4.6,4.66666666667,6.25,6.8,4.4,6.6
416,7,4,3.33333333333,6.25,3.8,5.6,7.2
417,5.2,3.2,5,4.5,6.4,4.6,7.6
418,5,4.8,5,5.5,3.2,7,6.6
419,6,6.2,5,7.75,5.6,7.2,6
420,7,5,7,7,5.2,7.4,7.4
421,5.4,7.2,5,7.5,4.6,7.6,7.6
422,5,6.8,4.66666666667,4.75,6.2,4.8,6.2
423,7.6,4.4,4.66666666667,6.25,3.6,6.8,5.2
424,3.6,8,3.33333333333,7.5,5.8,4.2,6.2
425,6.6,6.2,5.33333333333,6,3.6,7.8,4.4
426,8,4.8,3.66666666667,7.5,3.4,7.4,7.6
427,5.6,4.8,7.33333333333,5.75,4.2,7.2,7.4
428,5.8,4.6,3.33333333333,6,3.2,6,4.8
429,5,6.4,5.66666666667,7.25,5,5.8,7
430,6.4,3.6,5,4.25,3,6.8,4.2
431,5,5.4,6.33333333333,6.75,4.8,5.8,5.6
432,5.2,7.6,6,7.75,5.2,8.2,6.2
433,1.6,5.8,7,1.5,7.2,1.4,6.6
434,5.2,7.4,4,8,6,5.6,5.8
435,5.6,6,6.5,6.75,6,6.6,5.6
436,5.2,6.6,7.5,5,6.6,5.2,7.2
437,6.25,5.5,7,6,5.5,6.75,6.25
438,4.5,7.5,7,5.33333333333,6.5,7,6.75
439,6.5,5.5,6,6,5.75,7.5,6.5
440,4.75,6,5,4.66666666667,5.75,5.75,3.75
441,6.2,6.4,5.5,6.25,5.8,6.8,3.6
442,3,4.5,6.5,4,6.25,3.25,5.75
443,5.25,6,5,8,5.75,6.25,7.5
444,6.75,6.75,7,7,5.25,6.25,6
445,6,5.2,4.5,6.25,5.2,6.6,8
446,6.8,7,5.5,5.75,4.8,6.4,3.2
447,3.6,6,6.5,4.75,6.4,4.4,4.4
448,5.2,5.6,8,4.75,4.8,4.8,4.2
449,4,5.8,6,4.8,5,6,7.2
450,7.2,6.6,4.66666666667,7.6,4.2,7.2,6.8
451,5.8,6.4,4.66666666667,7.4,4.6,7.2,7.4
452,3.8,1.2,1.33333333333,2.4,7,4.2,6.6
453,4.6,5.8,3,8.2,4.6,6.8,4.4
454,6,7,5,7.2,5.2,7.4,7
455,7,3,4,4.6,3.2,6.2,6.5
456,4.2,4.4,3.5,5.6,4,5.6,5.5
457,5.4,7.2,6.33333333333,6.8,4.8,5.8,6.8
458,7.6,2,4.5,4.4,4,7.6,7.25
459,6,7.4,4,7.6,5,7.2,6.5
460,5.6,3.6,3.5,5,4.4,6.2,5
461,5.2,6.6,5,7.2,5.8,6,6.25
462,4.6,6.6,4.5,5.2,5.6,5,7.25
463,5,8.2,5,7.8,6,7,6
464,6.4,7.2,4,7.2,4.6,7.4,6.5
465,3,8.2,4,6.4,5.75,4.8,6.25
466,3.5,6,2.66666666667,8.4,5.6,7.25,7.33333333333
467,5.25,6.8,4,6.5,4.66666666667,7.2,4.25
468,5.25,7.75,2.66666666667,7.6,4.8,7.5,7.66666666667
469,4,6.25,3.66666666667,6.4,5.2,5.75,6.33333333333
470,3.5,4.5,5,5.6,6,4.25,6
471,5.75,7.25,5.66666666667,6.8,4.2,6.75,2.33333333333
472,5.8,4.8,6,5,4.4,5.8,6.75
473,4.5,4.5,4.66666666667,5,5,5.25,6.66666666667
474,5.75,8.5,6.66666666667,6.4,5.4,5.75,5.66666666667
475,7.4,5.2,5,5.6,3.6,6.6,4.5
476,6.6,6.8,3.5,7.8,4.6,6.6,4.75
477,4.2,6.2,6,5.8,6.6,5.6,6.25
478,5,7.5,2.33333333333,7.6,5.8,6.25,4.66666666667
479,5,5.75,6,3,5,7.25,6.5
480,2.5,6.75,5.66666666667,6,7.2,6.75,5.25
481,4.5,7,4,7.2,4.4,7,4.25
482,4.25,2.25,8.66666666667,4,4.75,8.33333333333,6
483,2.75,4.25,5.66666666667,5,4,6.33333333333,4.33333333333
484,6.2,7,6,7,5.4,7.6,6
485,5.8,6.2,4.5,8.4,5,7.25,5.75
486,4.5,5.5,6.66666666667,5.25,3.6,8,6
487,3.4,7.8,4.5,8.4,7.4,4.2,6.25
488,5,7.33333333333,6.33333333333,7,5,7.5,4.5
489,8.6,3.5,3.66666666667,6.2,2.6,8.5,5.4
490,7.6,6.2,5.33333333333,6.8,4.4,7,5.4
491,8.2,2.2,4.25,5,3,8.6,3.25
492,5.4,6,5.5,8,5.2,6.25,5.25
493,6.2,3.4,4,6.2,4,6.8,3.75
494,5.6,4.8,4.75,7.25,3.6,7.75,4.8
495,4.8,6.4,4.5,6.75,4.8,6.75,6.2
496,5.2,3.8,3.75,5.5,4,7.25,7
497,6.25,3.4,4.33333333333,6.25,3.4,7.25,7.4
498,7.2,3.4,4.5,6.75,3.4,7.33333333333,5.6
499,5.6,4.4,5.75,7,5.2,5.75,6
